"Endere�o","EQUIPAMENTO","Munic�pio",,,,
"10.37.11.126","CWBDSK0004 TECNICA 02","DEPPEN FOZ DO IGUA�U - DRV 4",,,,
"10.37.11.212","CWBDSK0004 TECNICA 02","DEPPEN FOZ DO IGUA�U - DRV 5",,,,
"10.37.11.237","CWBDSK0004 TECNICA 02","DEPPEN FOZ DO IGUA�U - DRV 6",,,,
"10.37.5.117","CWBDSK0004 TECNICA 02","DEPPEN LONDRINA",,,,
"10.37.5.231","CWBDSK0004 TECNICA 02","DEPPEN LONDRINA",,,,
"10.37.5.235","CWBDSK0004 TECNICA 02","DEPPEN LONDRINA",,,,
"10.37.5.119","CWBDSK0004 TECNICA 02","DEPPEN LONDRINA",,,,
"10.37.5.236","CWBDSK0004 TECNICA 02","DEPPEN LONDRINA",,,,
"10.37.10.88","CWBDSK0004 TECNICA 02","DEPPEN PEP 1 - DRV 1",,,,
"10.37.10.173","CWBDSK0004 TECNICA 02","DEPPEN PEP 1 - DRV 2",,,,
"10.37.10.247","CWBDSK0004 TECNICA 02","DEPPEN PEP 1 - DRV 3",,,,
"10.37.10.249","CWBDSK0004 TECNICA 02","DEPPEN PEP 1 - DRV 4",,,,
"10.37.10.244","CWBDSK0004 TECNICA 02","DEPPEN PEP 1 - DRV 5",,,,
"10.37.10.230","CWBDSK0004 TECNICA 02","DEPPEN PEP 1 - DRV 6",,,,
"10.37.10.172","CWBDSK0004 TECNICA 02","DEPPEN PEP 1 - DRV 7",,,,
"10.37.10.93","CWBDSK0004 TECNICA 02","DEPPEN PEP 1 - DRV 8",,,,
"10.37.10.241","CWBDSK0004 TECNICA 02","DEPPEN PEP 1 - DRV 9",,,,
"10.37.33.227","CWBDSK0004 TECNICA 02","DEPPEN PFF-UP",,,,
"10.37.33.228","CWBDSK0004 TECNICA 02","DEPPEN PFF-UP",,,,
"10.37.33.223","CWBDSK0004 TECNICA 02","DEPPEN PFF-UP",,,,
"10.37.33.224","CWBDSK0004 TECNICA 02","DEPPEN PFF-UP",,,,
"10.37.33.225","CWBDSK0004 TECNICA 02","DEPPEN PFF-UP",,,,
"10.37.33.226","CWBDSK0004 TECNICA 02","DEPPEN PFF-UP",,,,
"10.37.23.108","CWBDSK0004 TECNICA 02","DEPPEN PIG Guarapuava",,,,
"10.37.36.124","CWBDSK0004 TECNICA 02","p",,,,
"10.37.3.42","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PCE",,,,
"10.37.3.245","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PCE",,,,
"10.37.3.246","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PCE",,,,
"10.37.3.248","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PCE",,,,
"10.37.3.249","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PCE",,,,
"10.37.3.252","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PCE",,,,
"10.37.3.147","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PCE",,,,
"10.37.15.12","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PEP I",,,,
"10.37.15.74","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PEP I",,,,
"10.37.15.199","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PEP I",,,,
"10.37.15.15","CWBDSK0004 TECNICA 02","DEPPEN Piraquara PEP I",,,,
"10.37.18.110","CWBDSK0004 TECNICA 02","DEPPEN S�o J. dos Pinhais  CCSJP",,,,
"10.37.18.111","CWBDSK0004 TECNICA 02","DEPPEN S�o J. dos Pinhais  CCSJP DVR 2",,,,
"10.37.18.112","CWBDSK0004 TECNICA 02","DEPPEN S�o J. dos Pinhais  CCSJP DVR 3",,,,
"10.37.18.113","CWBDSK0004 TECNICA 02","DEPPEN S�o J. dos Pinhais  CCSJP DVR 4",,,,
"digifort1.econorte.com.br","CWBRAD0009 TECNICA 07","Diversos PR",,,,
"digifort2.econorte.com.br","CWBRAD0009 TECNICA 07","Diversos PR",,,,
"digifort3.econorte.com.br","CWBRAD0009 TECNICA 07","Diversos PR",,,,
"172.16.5.21","CWBDSK0004 TECNICA 02","Foz do Igua�u",,,,
"172.16.5.22","CWBDSK0004 TECNICA 02","Foz do Igua�u",,,,
"172.16.5.23","CWBDSK0004 TECNICA 02","Foz do Igua�u",,,,
"vpn2.pmfi.pr.gov.br","CWBDSK0004 TECNICA 02","Foz do Igua�u",,,,
"10.47.159.100","CWBDSK0002 TECNICA 03","Gua�ra",,,,
"10.47.0.160","CWBDSK0002 TECNICA 03","Guaratuba",,,,
"200.155.38.60","CWBDSK0004 TECNICA 02","Londrina",,,,
"10.47.110.8","CWBDSK0002 TECNICA 03","Marechal C.R.",,,,
"https://app.camerite.com/investigative","Acesso WEB","Nova Cantu/Campina da Lagoia",,,,
"https://app.camerite.com/investigative","Acesso WEB","Palotina (s�o camilo"," vila floresta"," vila santo ant�nio"," vila la salle"," �gua branca)"
"200.233.186.58","Acesso WEB","Pinhais",,,,
"172.19.0.2","Acesso WEB","Pinhais/Q.Barras/Piraquara/SJP",,,,
"0.0.0.0","CWBDSK0003 TECNICA 04","Ponta Grossa",,,,
"10.47.0.160","CWBDSK0002 TECNICA 03","Pontal do Paran�",,,,
"smartseg.aiplates.com.br","Acesso WEB","Q. Barras e Camp Gde do Sul",,,,
"10.147.209.99","CWBDSK0002 TECNICA 03","Quitandinha",,,,
"10.47.150.100","CWBDSK0002 TECNICA 03","Santa Helena",,,,
"10.47.136.100","CWBDSK0002 TECNICA 03","Santo Ant�nio do Sudoeste",,,,
"10.47.194.100 ","CWBDSK0002 TECNICA 03","S�o Miguel do Igua�u",,,,
"cis.telemacoborba.cidade.digital","DSKS T�CNICA","TELEMACO BORBA",,,,
"cis.telemacoborba.cidade.digital","DSKS T�CNICA","TELEMACO BORBA",,,,
"172.19.0.2","DSKS T�CNICA","TELEMACO BORBA",,,,
"10.147.128.100","CWBDSK0002 TECNICA 03","Ubirat�",,,,
"187.87.221.101","Acesso WEB","Umuarama",,,,
189112213209,"Acesso WEB","Viapar",,,,
